odour stim,29/09/2020 Female4,29/09/2020 Male6,30/09/2020 Female2,30/09/2020 Male4,30/09/2020 Female7,16/10/2020 Female4,21/10/2020 Female3,16/10/2020 Female4,30/10/2020 Male3,02/11/2020 Female3,08/11/2020 Female5,25/02/2021 Male5
,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V
0.5,3.6225,7.0875,3.2596,1.5565,5.8648,7.8656,5.4085,3.2869,6.6106,4.6286,1.8197,2.7216
0.5,3.443,6.7744,3.2459,1.6186,6.0691,7.3398,5.8478,3.6806,6.6485,4.9018,2.0171,3.1369
0.5,3.8958,6.9756,3.2121,1.8133,5.7216,7.5965,6.2783,3.6398,6.4235,4.6661,2.0365,3.1537
0.5,3.9864,6.5985,2.7922,1.8365,5.9135,7.2877,6.3116,3.4472,6.2036,4.3661,2.1817,2.9798
0.5,4.1447,6.176,2.9668,1.8253,5.8455,7.008,5.854,3.1601,7.613,4.1518,2.0948,3.3761
0.5,4.3676,6.1842,3.2668,1.4186,5.8581,7.389,5.8735,3.5364,8.4815,3.8662,1.7824,3.0886
0.5,4.4359,5.6907,3.2497,1.5597,5.785,7.0271,5.9085,3.3698,8.3395,3.8364,2.1669,3.1084
0.5,4.7645,5.4291,3.1804,1.4237,6.0152,6.5507,5.4974,3.3674,8.5033,4.0848,2.1259,2.9972
0.5,4.8416,5.7558,3.1047,1.6606,5.8841,5.8672,5.6341,3.6675,8.8014,4.1899,2.4811,2.9142
0.5,4.865,5.9315,3.186,1.7983,6.1432,4.4094,5.4462,3.6349,8.2491,3.8079,2.1595,2.8548
5,4.8928,6.6153,3.5471,1.6317,5.9425,4.6124,5.6783,3.9092,8.6991,3.3851,2.3013,2.6695
5,4.6359,6.6485,2.9948,1.5276,6.0836,5.5308,6.0602,3.2862,8.7141,3.6123,2.4895,3.0384
5,4.936,8.7261,3.56,1.2602,6.691,10.1588,6.2205,3.5631,7.5451,4.7663,3.1969,2.9638
5,4.6887,9.5495,3.5201,1.4855,8.1332,14.4898,6.9911,4.1285,7.1471,4.9565,4.457,3.0881
5,4.5311,10.4606,3.3365,1.1793,9.0632,17.5158,7.095,4.3114,7.7947,4.8679,4.7937,3.2573
5,4.3388,9.8105,3.8675,1.3824,10.3937,20.9347,7.8197,3.9945,8.7477,5.3279,5.4663,3.1549
